169,M Abdur Rahim Medical College,MARMC,Dinajpur,Medical Collage,Public
170,Pabna Medical College,PMC,Pabna,Medical Collage,Public
171,Abdul Malek Ukil Medical College,AMUMC,Noakhali,Medical Collage,Public
172,Cox's Bazar Medical College,CoxMC,Cox's Bazar,Medical Collage,Public
173,Jashore Medical College,JMC,Jashore,Medical Collage,Public
174,Satkhira Medical College,SMC,Satkhira,Medical Collage,Public
175,Shahid Syed Nazrul Islam Medical College,SSNIMC,Kishoreganj,Medical Collage,Public
176,Kushtia Medical College,KuMC,Kushtia,Medical Collage,Public
177,Sheikh Sayera Khatun Medical College,SSKMC,Gopalganj,Medical Collage,Public
178,Shaheed Tajuddin Ahmad Medical College,STAMC,Gazipur,Medical Collage,Public
179,"Sheikh Hasina Medical College,Tangail",SHMCT,Tangail,Medical Collage,Public
180,"Sheikh Hasina Medical College,Jamalpur",SHMCJ,Jamalpur,Medical Collage,Public
181,Colonel Malek Medical College,CMMC,Manikganj,Medical Collage,Public
182,Shaheed M. Monsur Ali Medical College,SMMAMC,Sirajganj,Medical Collage,Public
183,Patuakhali Medical College,PkMC,Patuakhali,Medical Collage,Public
184,Rangamati Medical College,RmMC,Rangamati,Medical Collage,Public
185,Mugda Medical College,MuMC,Dhaka,Medical Collage,Public
186,"Sheikh Hasina Medical College, Habiganj",SHMCH,Habiganj,Medical Collage,Public
187,"Netrokona Medical College, Netrokona",NMC,Netrokona,Medical Collage,Public
188,Nilphamari Medical College,NpMC,Nilphamari,Medical Collage,Public
189,Magura Medical College,MaMC,Magura,Medical Collage,Public
190,Naogaon Medical College,NaMC,Naogaon,Medical Collage,Public
191,Chandpur Medical College,ChMC,Chandpur,Medical Collage,Public
192,Bangabandhu Medical College,BBMC,Sunamganj,Medical Collage,Public
193,Dhaka National Medical College,DNMC,Dhaka,Medical Collage,Private
194,Ibrahim Medical College,IMC,Dhaka,Medical Collage,Private
195,Bangladesh Medical College,BMCH,Dhaka,Medical Collage,Private
196,Holy Family Red Crescent Medical College,HFRCMC,Dhaka,Medical Collage,Private
197,Jahurul Islam Medical College,JIMC,Kishoreganj,Medical Collage,Private
198,Uttara Adhunik Medical College,UAMC,Dhaka,Medical Collage,Private
199,Shaheed Monsur Ali Medical College,SMAMC,Dhaka,Medical Collage,Private
200,Enam Medical College and Hospital,EMCH,Savar,Medical Collage,Private
201,Community Based Medical College,CBMCB,Mymensingh,Medical Collage,Private
202,Dhaka Central International Medical College,DCIMC,Dhaka,Medical Collage,Private
203,Ibn Sina Medical College,ISMC,Dhaka,Medical Collage,Private
204,TMSS Medical College,TMC,Bogra,Medical Collage,Private
205,Shahabuddin Medical College,SMC,Dhaka,Medical Collage,Private
206,Medical College for Women & Hospital,MCW,Dhaka,Medical Collage,Private
207,Z. H. Sikder Women's Medical College,ZHSWMC,Dhaka,Medical Collage,Private
208,Kumudini Women's Medical College,KWMC,Tangail,Medical Collage,Private
209,Tairunnessa Memorial Medical College,TMMC,Gazipur,Medical Collage,Private
210,Ad-din Women's Medical College,AWMC,Dhaka,Medical Collage,Private
211,International Medical College,IMC,Gazipur,Medical Collage,Private
212,Central Medical College,CEMEC,Comilla,Medical Collage,Private
213,BGC Trust Medical College,BGCTMC,Chittagong,Medical Collage,Private
214,Eastern Medical College,EMC,Comilla,Medical Collage,Private
215,Islami Bank Medical College,IBMC,Rajshahi,Medical Collage,Private
216,Khwaja Yunus Ali Medical College,KYAMC,Enayetpur,Medical Collage,Private
217,Jalalabad Ragib-Rabeya Medical College,JRRMC,Sylhet,Medical Collage,Private
218,East West Medical College,EWMCH,Dhaka,Medical Collage,Private
219,North East Medical College,NEMC,Sylhet,Medical Collage,Private
220,Chattagram Maa-O-Shishu Hospital Medical College,CMOSHMC,Agrabad,Medical Collage,Private
221,Gonoshasthaya Samaj Vittik Medical College,GSVMC,Savar,Medical Collage,Private
222,Institute of Applied Health Sciences,IAHS,Chittagong,Medical Collage,Private
223,Prime Medical College,PMC,Rangpur,Medical Collage,Private
224,North Bengal Medical College,NBMC,Sirajganj,Medical Collage,Private
225,Rangpur Community Medical College,RCMC,Rangpur,Medical Collage,Private
226,Delta Medical College,DLMC,Dhaka,Medical Collage,Private
227,Southern Medical College,SMCH,Chittagong,Medical Collage,Private
228,Anwer Khan Modern Medical College,AKMMC,Dhaka,Medical Collage,Private
229,Ad-din Sakina Medical College,ASMC,Jessore,Medical Collage,Private
230,Popular Medical College,PMC,Dhaka,Medical Collage,Private
231,Green Life Medical College,GMCH,Dhaka,Medical Collage,Private
232,Dhaka Community Medical College,DCMC,Dhaka,Medical Collage,Private
233,Sylhet Women's Medical College,SWMC,Sylhet,Medical Collage,Private
234,Monno Medical College,MoMC,Dhaka,Medical Collage,Private
235,MH Samorita Medical College,MHSMC,Dhaka,Medical Collage,Private
236,City Medical College,CiMC,Gazipur,Medical Collage,Private
237,Marks Medical College,MarksMC,Dhaka,Medical Collage,Private
238,Diabetic Association Medical College,DAMC,Faridpur,Medical Collage,Private
239,Barind Medical College,BMC,Rajshahi,Medical Collage,Private
240,Gazi Medical College,GMC,Khulna,Medical Collage,Private
241,Northern International Medical College,NIMC,Dhaka,Medical Collage,Private
242,Dr. Sirajul Islam Medical College,SIMC,Dhaka,Medical Collage,Private
243,Mainamoti Medical College,MMCH,Comilla,Medical Collage,Private
244,Bikrampur Bhuiyans Medical College,BBMC,Munshiganj,Medical Collage,Private
245,Universal Medical College,UMC,Dhaka,Medical Collage,Private
246,Ashiyan Medical College,AMC,Dhaka,Medical Collage,Private
247,US-Bangla Medical College,USBMC,Narayanganj,Medical Collage,Private
248,President Abdul Hamid Medical College,PAHMC,Kishoreganj,Medical Collage,Private
249,Brahmanbaria Medical College,BBMC,Brahmanbaria,Medical Collage,Private
250,Parkview Medical College,PMC,Sylhet,Medical Collage,Private
